qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
CDX81172	AT5G44050	84.415	1418	213	7	45	1458	63	1476	0	1387
CDX80797	AT5G02020	83.838	396	49	9	30	413	42	434	1.54e-99	363
CDX81136	AT5G09650	89.912	228	16	4	1	226	371	593	4.01e-77	287
CDX80812	AT5G02270	90.882	340	28	3	115	453	433	770	7.72e-127	453
CDX80762	AT5G01600	87.581	773	83	9	1	765	1	768	0	883
CDX80848	AT5G03030	87.948	307	33	2	1	305	13	317	1.23e-98	359
CDX80813	AT5G02280	93.662	426	27	0	1	426	1	426	0	638
CDX81125	AT5G09400	89.06	2596	264	10	1	2595	1	2577	0	3203
CDX80962	AT5G05560	87.143	2800	302	19	1	2762	1	2780	0	3123
CDX80939	AT5G05080	88.34	729	70	6	70	798	7	720	0	861
CDX80852	AT5G03140	85.16	2163	284	14	1	2155	1	2134	0	2182
CDX81091	AT5G08290	89.277	429	46	0	1	429	1	429	1.96e-152	538
CDX81089	AT5G08260	87.448	1450	171	7	1	1446	1	1443	0	1659
CDX81166	AT5G10260	88.585	622	71	0	1	622	1	622	0	756
CDX81011	AT5G06610	86.551	1093	130	8	1	1077	1	1092	0	1188
CDX80823	AT5G02470	87.182	866	91	10	1	853	7	865	0	966
CDX80941	AT5G05100	82.018	545	95	1	7	551	4	545	1.11e-128	460
CDX81079	AT5G07920	89.204	2149	211	10	30	2163	45	2187	0	2663
CDX80815	AT5G02310	85.636	912	109	16	1	892	3088	3997	0	939
CDX80930	AT5G04940	79.553	1609	296	19	348	1935	417	2013	0	1118
CDX80907	AT5G04170	86.376	756	85	11	472	1215	316	1065	0	809
CDX80903	AT5G04110	79.044	544	104	7	942	1477	1014	1555	1.4e-99	364
CDX80806	AT5G02140	87.04	733	83	3	12	744	12	732	0	817
CDX80954	AT5G05190	81.128	461	64	15	1	448	1	451	1.45e-94	348
CDX81138	AT5G09770	89.167	480	50	2	1	479	1	479	3.61e-170	597
CDX80936	AT5G05000	87.275	943	114	5	1	940	1	940	0	1072
CDX81176	AT5G44050	85.597	1458	187	13	1	1439	1	1454	0	1507
CDX80911	AT5G04520	88.965	879	92	4	1	878	1	875	0	1081
CDX81107	AT5G08480	89.498	438	31	7	211	642	1	429	8.31e-153	540
CDX81155	AT5G10060	84.072	1444	144	30	1	1392	1	1410	0	1314
CDX80988	AT5G06150	80.876	1255	196	26	46	1272	70	1308	0	948
CDX80898	AT5G04040	83.621	2088	294	16	9	2069	6	2072	0	1917
CDX80779	AT5G01270	89.114	1332	133	4	1043	2362	953	2284	0	1646
CDX80861	AT5G03330	85.82	1079	110	21	1	1044	1	1071	0	1105
CDX81174	AT5G44050	84.603	604	80	7	232	827	370	968	5.66e-167	588
CDX81071	AT5G07810	86.5	3311	403	19	160	3448	205	3493	0	3598
CDX80949	AT3G44970	83.289	1119	167	19	25	1133	1	1109	0	1013
CDX81164	AT5G10160	88.456	641	57	8	34	671	34	660	0	758
CDX80959	AT5G05440	87.765	613	73	2	1	612	1	612	0	715
CDX80870	AT5G03510	84.562	434	58	7	23	447	35	468	3.77e-117	422
CDX81077	AT3G17090	88.608	158	16	2	111	266	535	692	5.02e-48	191
CDX80910	AT5G04280	84.764	827	77	23	1	786	115	933	0	784
CDX80950	AT5G05150	81.17	1094	179	13	17	1101	14	1089	0	854
CDX80887	AT5G03790	87.43	533	64	2	1	533	1	530	6.4e-174	610
CDX81085	AT5G08130	80.428	1308	166	41	1	1236	1	1290	0	915
CDX80899	AT5G04040	78.116	329	45	15	245	573	2168	2469	1.45e-45	183
CDX80799	AT5G02040	87.937	630	76	0	1	630	1	630	0	743
CDX80875	AT5G03560	88.543	611	44	8	84	693	141	726	0	717
CDX81139	AT5G09805	84.247	292	43	2	1	289	1	292	2.6e-75	281
CDX80990	AT5G06160	84.029	1534	225	12	1	1533	1	1515	0	1458
CDX80849	AT5G03040	87.462	662	63	13	138	792	186	834	0	745
CDX80857	AT5G03230	79.63	540	71	9	1	540	1	501	3.49e-96	351
CDX80995	AT5G06220	89.316	2443	234	10	222	2652	228	2655	0	3040
CDX80808	AT5G02170	86.486	407	55	0	1	407	718	1124	6.19e-125	448
CDX81142	AT5G01270	87.629	291	36	0	1	291	577	867	3.11e-92	339
CDX80786	AT5G37500	79.412	170	33	2	33	201	766	598	2.71e-26	119
CDX80915	AT5G04670	80	775	111	22	807	1547	945	1709	4.7e-150	532
CDX80774	AT5G01410	89.247	930	100	0	1	930	1	930	0	1164
CDX81081	AT5G08050	86.975	476	59	1	1	473	1	476	1.01e-150	532
CDX81097	AT5G23360	81.837	479	86	1	94	572	134	611	3.87e-111	401
CDX81181	AT5G10480	90.369	623	55	3	102	720	72	693	0	813
CDX81113	AT5G08560	87.262	1782	203	10	1	1770	1	1770	0	2012
CDX81051	AT5G07440	87.206	1235	134	10	1	1211	1	1235	0	1384
CDX80791	AT5G01110	86.505	578	76	2	785	1361	1136	1712	1.07e-180	634
CDX80821	AT5G02430	86.86	1309	169	2	1332	2637	1410	2718	0	1461
CDX81177	AT5G44050	86.32	519	70	1	250	767	457	975	6.46e-160	564
CDX81007	AT5G06470	87.234	376	39	3	289	664	349	715	1.18e-116	420
CDX80882	AT5G03670	85.678	1557	158	29	1	1505	1	1544	0	1580
CDX81104	AT5G08415	91.26	984	86	0	162	1145	201	1184	0	1341
CDX80826	AT5G02480	82	1550	191	39	1	1488	1	1524	0	1236
CDX80895	AT5G03880	87.294	1031	106	16	1	1017	1	1020	0	1155
CDX81072	AT5G07820	80.353	453	50	14	875	1297	1238	1681	1.89e-82	307
CDX80816	AT5G02370	86.625	1286	172	0	107	1392	128	1413	0	1423
CDX81024	AT1G19220	89.604	202	15	3	1	202	286	481	1.32e-66	252
CDX81161	AT5G10120	87.935	431	43	5	1	425	1	428	1.27e-140	499
CDX81144	AT5G09850	83.01	1083	127	30	1	1047	1	1062	0	928
CDX80874	AT5G03555	88.316	1532	178	1	193	1724	239	1769	0	1836
CDX80931	AT5G04950	90.343	963	93	0	1	963	1	963	0	1264
CDX80929	AT5G04930	86.272	3329	447	6	67	3393	157	3477	0	3607
CDX80792	AT5G01090	85.524	677	93	5	228	903	390	1062	0	702
CDX81090	AT5G08280	87.075	1060	133	4	78	1135	90	1147	0	1195
CDX81094	AT5G08330	86.228	167	17	1	367	527	535	701	2.27e-43	176
CDX80844	AT5G02890	79.781	1098	173	24	1	1087	1	1060	0	752
CDX81122	AT5G09300	86.805	1402	159	15	19	1404	28	1419	0	1541
CDX80917	AT5G04740	90.048	834	83	0	46	879	73	906	0	1081
CDX80863	AT5G03370	82.739	533	73	14	13	543	1	516	7.23e-128	457
CDX80814	AT5G02290	88.615	1177	126	4	1	1176	1	1170	0	1424
CDX80960	AT5G05480	81.049	1087	200	6	695	1778	686	1769	0	861
CDX80972	AT5G05760	86.271	1027	120	9	1	1024	1	1009	0	1096
CDX80798	AT5G02030	84.785	999	126	11	1	977	1	995	0	979
CDX80969	AT5G05690	87.839	1217	148	0	17	1233	5	1221	0	1428
CDX80775	AT5G01380	86.544	981	102	18	1	960	1	972	0	1053
CDX80966	AT5G05600	89.705	1117	112	1	1	1117	1	1114	0	1423
CDX81078	AT5G07910	90.875	789	72	0	1	789	1	789	0	1059
CDX80776	AT5G01360	87.853	1309	145	6	1	1299	1	1305	0	1524
CDX80793	AT5G01070	85.086	637	69	13	1	627	1	621	6.05e-179	627
CDX80755	AT5G01690	86.687	2306	303	4	1	2304	1	2304	0	2555
CDX80927	AT5G04890	84.452	611	75	13	1	595	1	607	6.02e-166	584
CDX81100	AT5G08391	92.788	208	15	0	6	213	3	210	1.31e-81	302
CDX81083	AT5G08070	77.778	657	81	37	79	692	61	695	8.05e-94	344
CDX80772	AT5G01450	87.311	1324	151	10	19	1338	25	1335	0	1498
CDX80957	AT5G05340	80.466	988	167	22	1	975	1	975	0	732
CDX80884	AT5G03730	89.26	2216	208	8	195	2383	252	2464	0	2747
CDX80850	AT5G03780	86.127	173	22	1	628	800	1032	1202	5.71e-46	185
CDX81106	AT5G08450	87.437	1982	198	27	553	2504	778	2738	0	2233
CDX81137	AT5G09760	86.049	1706	218	13	58	1747	28	1729	0	1814
CDX80843	AT5G02880	86.601	3045	364	20	1271	4278	1190	4227	0	3323
CDX80955	AT5G05200	89.851	1271	118	4	1	1261	1	1270	0	1622
CDX80968	AT5G05670	89.583	768	80	0	1	768	1	768	0	976
CDX80932	AT5G04960	82.966	1726	247	22	1	1710	1	1695	0	1515
CDX81153	AT5G10020	89.389	999	104	2	2108	3105	2144	3141	0	1256
CDX81173	AT2G21470	92.437	119	9	0	27	145	1095	1213	5.81e-42	171
CDX80751	AT5G01760	83.407	1591	198	29	7	1546	1	1576	0	1415
CDX81141	AT5G09820	88.078	822	90	7	1	817	1	819	0	968
CDX81115	AT5G08580	89.347	873	93	0	283	1155	304	1176	0	1098
CDX80996	AT5G06250	83.768	499	51	16	1	472	1	496	2.43e-124	446
CDX81008	AT5G06570	86.245	996	125	5	1	996	1	984	0	1070
CDX80934	AT5G04970	85.863	672	93	2	82	752	148	818	0	713
CDX80891	AT5G03850	90.256	195	19	0	1	195	1	195	9.35e-68	255
CDX80854	AT5G03150	87.71	1546	128	22	1	1518	1	1512	0	1746
CDX81149	AT5G09940	84.314	102	16	0	1	102	1	102	6.42e-21	100
CDX80867	AT5G03415	90.094	636	61	2	154	788	256	890	0	824
CDX80790	AT5G01140	83.83	235	38	0	6	240	1125	1359	4.07e-58	224
CDX80800	AT5G02050	83.859	793	103	15	8	780	17	804	0	732
CDY54571	AT5G44560	86.478	673	86	4	1	672	1	669	0	734
CDY54566	AT4G20270	86.364	308	30	7	1	308	1	296	1.31e-88	326
CDY54561	AT4G20190	85.389	1184	139	21	1	1164	1	1170	0	1197
CDY54570	AT4G20360	86.97	637	81	2	304	939	796	1431	0	715
CDY54562	AT4G20240	81.579	190	32	3	13	201	899	1086	7.2e-37	154
CDY54560	AT4G20150	92.245	245	19	0	1	245	1	245	1.95e-95	348
CDY70186	AT3G01300	93.333	105	6	1	2	105	460	564	3.1e-37	154
CDY70185	AT1G08760	85.106	94	14	0	25	118	34	127	5.58e-20	97.1
CDY59128	AT1G49540	88.219	2521	247	16	1	2475	1	2517	0	2964
CDY67936	AT5G60020	86.925	1369	164	3	12	1365	12	1380	0	1522
CDY60391	AT3G20770	81.838	468	68	8	1	467	4	455	1.4e-103	377
CDY60389	AT3G20800	89.695	951	86	4	196	1134	1	951	0	1203
CDY60388	AT3G20820	87.74	1093	133	1	1	1092	1	1093	0	1275
CDY67581	AT3G16200	88.284	973	111	1	36	1008	402	1371	0	1162
CDY67580	AT3G16200	87.962	1354	158	3	37	1389	22	1371	0	1592
CDY59706	AT1G74630	87.071	1137	144	1	616	1752	799	1932	0	1282
CDY59707	AT1G74590	85.281	693	100	2	1	692	1	692	0	713
CDY60328	AT3G12760	96.296	54	2	0	67	120	264	317	1.36e-17	89.8
CDY68133	AT2G19320	89.189	74	8	0	158	231	161	234	9.39e-19	93.5
CDY65029	AT1G18390	82.278	316	54	2	752	1065	52	367	5.66e-72	272
CDY65027	AT1G18400	85.786	795	98	5	1	792	1	783	0	828
CDY65028	AT1G18390	85.953	1374	163	19	1	1350	598	1965	0	1441
CDY72516	AT1G25400	79.585	867	135	25	1	846	1	846	1.84e-165	582
CDY70805	AT3G48150	89.357	902	93	1	1	902	1	899	0	1131
CDY63591	ATCG01050	95.783	166	6	1	1	165	79	244	3.94e-71	267
CDY63590	ATCG01050	96.267	1152	43	0	1	1152	370	1521	0	1890
CDY45206	AT2G02560	90.377	3658	335	5	1	3645	1	3654	0	4789
CDY45183	AT2G03060	86.661	1147	139	9	1	1134	1	1146	0	1258
CDY45205	AT2G02570	86.253	902	105	9	3	892	7	901	0	961
CDY45170	AT2G03290	82.233	636	111	2	9	643	6	640	4.99e-155	547
CDY45187	AT2G02970	87.5	1048	126	3	733	1779	625	1668	0	1205
CDY45165	AT2G03390	86.961	997	122	4	1	993	1	993	0	1114
CDY45168	AT2G03350	90.672	536	50	0	1	536	1	536	0	713
CDY45164	AT2G03440	84.426	122	16	2	1	119	1	122	1.37e-25	117
CDY45197	AT2G02790	83.69	1355	170	25	1	1322	1	1337	0	1230
CDY45178	AT2G03200	86.768	1383	178	5	8	1386	5	1386	0	1535
CDY45200	AT2G02740	89.402	585	59	1	202	786	226	807	0	734
CDY45177	AT2G03210	84.708	1746	228	21	8	1744	2	1717	0	1709
CDY45203	AT2G02710	83.348	1147	161	20	53	1169	47	1193	0	1033
CDY45167	AT2G03360	82.881	1326	205	11	55	1375	46	1354	0	1171
CDY45201	AT2G02730	87.187	718	89	1	1	718	1	715	0	813
CDY45179	AT2G03120	89.804	971	99	0	1	971	1	971	0	1245
CDY45166	AT2G03380	85.671	1961	271	8	85	2037	109	2067	0	2056
CDY45169	AT2G03340	83.07	886	102	32	606	1461	675	1542	0	761
CDY45184	AT2G03050	82.67	854	146	2	1	853	1	853	0	756
CDY45181	AT2G03090	88.904	748	81	2	1	747	16	762	0	920
CDY45173	AT2G03260	84.457	534	77	6	10	537	1891	2424	2.5e-147	521
CDY45188	AT2G02960	85.662	816	102	11	76	882	7	816	0	845
CDY45204	AT2G02590	82.139	991	142	21	1	972	1	975	0	817
CDY45176	AT2G03220	84.484	1695	245	11	1	1695	1	1677	0	1657
CDY45190	AT2G02870	85.689	1118	155	5	247	1360	286	1402	0	1173
CDY45180	AT1G14170	79.965	1158	206	19	1	1151	130	1268	0	830
CDY45192	AT2G02860	88.521	845	73	14	19	842	7	848	0	1002
CDY53730	AT4G14615	89.381	226	24	0	1	226	1	226	1.55e-76	285
CDY53734	AT4G14570	86.082	2486	300	33	1	2466	1	2460	0	2632
CDY53727	AT3G22950	87.638	542	67	0	1	542	1	542	4.09e-180	630
CDY69403	AT5G50230	89.009	555	61	0	1	555	22	576	0	688
CDY31415	AT1G01430	79.225	568	100	13	1	553	1	565	1.7e-104	379
CDY31402	AT2G20780	86.976	1574	191	9	3	1563	9	1581	0	1759
CDY31399	AT2G16910	89.645	1719	160	6	1	1704	1	1716	0	2172
CDY31389	AT2G17010	88.577	1103	126	0	1200	2302	1614	2716	0	1339
CDY31416	AT3G44840	73.096	1011	246	21	52	1054	52	1044	1.95e-91	337
CDY31382	AT2G17120	77.577	1106	184	26	1	1095	1	1053	1.08e-173	610
CDY31394	AT4G27860	82.394	852	125	11	933	1782	963	1791	0	719
CDY31372	AT2G17220	87.345	1209	136	4	41	1233	35	1242	0	1369
CDY31377	AT1G65450	84.921	252	36	2	3	253	213	463	5.07e-67	254
CDY31385	AT2G17040	82.938	844	116	12	108	949	6	823	0	736
