Bnapus_genes	top2_bitscore_diff
CDY31391	3358
CDY65235	362
CDY68919	122
CDY02414	293
CDY02428	297
CDY23089	645
CDY23035	692
CDY23010	203
CDY23090	1149
CDY23013	759
CDY23018	118
CDY23020	624
CDY23040	398
CDY23047	206
CDY23071	465
CDY23015	72
CDY23039	484
CDY23019	2
CDY23042	1014
CDY23016	105
CDY23023	534.9
CDY23091	105
CDY23037	559
CDY23088	918
CDY23043	821
CDY23031	139
CDY23007	235
CDY23064	434
CDY23085	238
CDY23073	384
CDY72546	455
CDY46016	57
CDY46028	76
CDY72627	112
CDX75998	244
CDX76150	1341
CDX76090	284
CDX76075	814
CDX76036	231
CDX76108	89
CDX76073	240
CDX76157	443
CDX76255	85
CDX76243	334
CDX76082	680
CDX76107	17
CDX76033	724
CDX76026	52
CDX76138	571
CDX76030	720
CDX76106	1363
CDX76163	375
CDX76031	85
CDX76133	1593
CDX76104	15
CDX76025	48
CDX76182	707
CDX76185	1121
CDX76022	144
CDX76039	236
CDX76086	2070
CDX76241	79
CDX76164	116
CDX76217	673
CDX76168	527
CDX76021	221
CDX76251	218
CDX76191	227
CDX76213	120
CDX76208	72
CDX76197	536
CDX76074	5
CDX76184	1084
CDX76258	142
CDX76125	293
CDX76254	465
CDX76122	202
CDX76010	469
CDX76117	962
CDX76115	244
CDX76062	1808
CDX76206	614
CDX76032	12
CDX76081	747
CDX76041	218
CDX76219	356
CDX76195	30
CDX76061	539
CDX76065	67
CDX76196	384
CDX76027	12
CDX76119	280
CDX76012	117
CDX76024	271
CDY69431	440
CDY28113	317.2
CDY28098	532
CDY28107	976.2
CDY28082	1925.2
CDY28112	830.2
CDY28123	105
CDY28099	931
CDY28093	46
CDY28091	4
CDY28137	628
CDY28146	155
CDY48930	416
CDY48932	375
CDY48935	449
CDY48937	49
CDY48920	249
CDY48914	75
CDY48927	485
CDY66902	83
CDY16776	815
CDY16801	771
CDY16854	1254
CDY16725	0
CDY16775	27
CDY16720	211
CDY16796	17
CDY16860	1235
CDY16763	593
CDY16832	833
CDY16822	262
CDY16797	20
CDY16792	578
CDY16715	428
CDY16745	13
CDY16823	844
CDY16859	540
CDY16783	240
CDY16811	486
CDY16724	472
CDY16756	39
CDY16867	148
CDY16764	303
CDY16826	887
CDY16841	607.1
CDY16773	102
CDY16846	50
CDY16836	206
CDY16729	1035
CDY59861	735
CDY59992	724
CDY20351	648
CDY20343	22
CDY20338	1546
CDY20344	45
CDY62546	559
CDY52505	321
CDY52501	168
CDY52500	827
CDY52494	842
CDY52506	144
CDY52498	111
CDY52502	1544.8
CDY30218	205
CDY30171	853
CDY30170	1015
CDY30232	216
CDY30184	2853
CDY30178	571
CDY30187	264
CDY30230	975
CDY30223	244
CDY30219	1016
CDY30179	829
CDY30210	2
CDY30195	1959
CDY47495	6
CDY47458	81
CDY47488	421
CDY47457	406
CDY47479	370
CDY47483	264
CDY47487	683
CDY47482	2766
CDY47472	1082
CDY47477	772
CDY47496	479
CDX74109	636
CDX74160	501
CDX74095	38
CDX74296	977
CDX74002	188
CDX74100	380.1
CDX74138	166
CDX74377	102
CDX73958	93
CDX73899	129
CDX73819	351
CDX73996	630
CDX74029	327
CDX73909	1034
CDX73962	137
CDX73910	662
CDX73887	397
CDX73931	2732
CDX74018	45
CDX73882	146
CDX74089	95
CDX74334	238
CDX74402	45
CDX73847	803
CDX73858	178
CDX74346	1304
CDX74293	947
CDX73823	132
CDX73874	604
CDX74317	1636
CDX74268	344
CDX74166	467
CDX73972	16
CDX74147	967
CDX74229	665
CDX74259	374
CDX74338	393
CDX74252	164
CDX73977	814
CDX73981	189
CDX73915	155
CDX73815	567
CDX73879	178
CDX74369	740
CDX74117	22
CDX73877	1290.6
CDX73959	11
CDX73845	122
CDX74140	111
CDX74175	272
CDX73980	900.2
CDX74168	640
CDX74162	388
CDX74149	137
CDX74075	0
CDX74279	432
CDX74034	356
CDX74247	371
CDX73937	1087
CDX74236	234
CDX74173	22
CDX74231	2351
CDX74306	674
CDX73997	1330
CDX74394	122
CDX74288	184.1
CDX74207	676
CDX73889	294
CDX73995	91
CDX73893	29
CDX74129	343
CDX73800	350
CDX74027	15
CDX73805	126
CDX74199	144
CDX74134	4236
CDX74277	425
CDX73835	585
CDX74345	1635
CDX74057	42
CDX73855	611
CDX73974	68
CDX74265	624
CDX73860	244
CDX74267	262
CDX74309	408
CDX73963	753
CDX73920	22
CDX74233	519
CDX74139	133
CDX73955	14
CDX74234	812
CDX74203	1102
CDX74011	288
CDX74013	1013.5
CDX74165	146
CDX74228	900.5
CDX74244	63
CDX73830	300
CDX74161	66
CDX73964	675
CDX74352	341
CDX74368	425
CDX74304	703
CDX74257	742
CDX73832	65
CDX74255	770
CDX73939	132
CDX73982	74
CDX74155	438
CDX73836	249
CDX73802	460
CDX73948	299
CDX74307	238
CDX73966	581
CDX73818	541
CDX74347	2183
CDX73914	469
CDX74211	2466
CDX74096	100
CDY71967	526
CDY69649	229
CDY28606	0
CDY28609	0
CDY28614	746
CDY28608	0
CDY28607	0
CDY28602	179
CDY62807	3055
CDY62803	46
CDY18741	458
CDY18735	635
CDY18745	308
CDY24503	39
CDY24516	2382
CDY24536	491
CDY24545	1036
CDY24544	77
CDY24499	679
CDY24504	42
CDY24513	322
CDY24524	61
CDY24519	567
CDY13528	122
CDY13558	205
CDY13566	102
CDY13522	1274
CDY13548	2735
CDY13540	166
CDY13560	159
CDY13568	366
CDY13546	733
CDY13565	1226
CDY13524	678.8
CDY13529	5
CDY13557	13
CDY13533	338
CDY29311	432
CDY29258	389
CDY29264	25
CDY29256	379
CDY29266	212
CDY29285	109
CDY29291	759
CDY64035	27
CDY66504	1267
CDY22589	615
CDY22566	200.8
CDY22598	12
CDY22572	739
CDY22567	1322
CDY22579	9
CDY67888	267
CDY50571	604
CDY50563	13
CDY50549	163
CDY50568	778
CDY50562	321
CDY50564	13
CDY50567	384
CDY60414	64
CDY60413	83
CDY60415	35
CDY60410	49
CDY63001	724
CDY71432	21
CDY49059	503
CDY49042	497
CDY49058	1077
CDY49047	488
CDY49066	530
CDY70577	759
CDY51854	357
CDY55941	1218
CDY55934	726
CDY55942	210.1
CDY55939	331
CDY71621	61
CDY71276	109
CDY72138	223
CDY61000	0
CDY60999	173
CDY60993	316
CDY60988	426
CDY58442	121
CDY58428	1486.3
CDY58433	465
CDY58437	912
CDY65912	0
CDY32299	358
CDY32279	148
CDY32278	1435
CDY66118	698
CDY62937	111
CDY47225	673
CDY47222	639
CDY47217	393
CDY47221	113
CDY39438	210
CDY39391	32
CDY39414	2765
CDY39404	262
CDY39440	492
CDY39408	527
CDY39421	578
CDY39412	150
CDY39405	246
CDY39393	42
CDY39403	497
CDY39444	418
CDY39416	1180
CDY39447	102
CDY71834	120
CDY65066	102
CDY32821	107
CDY32853	477
CDY32849	528
CDY32815	29
CDY32809	106
CDY32814	1204
CDY32840	456
CDY32824	244
CDY69639	350.2
CDY15713	214
CDY15657	87
CDY15712	153
CDY15728	857
CDY15658	209
CDY15643	143
CDY15724	802
CDY15726	436
CDY15692	2414.7
CDY15668	1736
CDY15729	413
CDY15714	22
CDY15655	57
CDY15695	81
CDY15645	260
CDY15676	1715
CDY15632	5
CDY15719	28
CDY15659	233
CDY15678	1012
CDY37395	833
CDY37402	1110
CDY37398	62
CDY37408	101
CDY37406	199
CDY68153	1
CDY47649	2616
CDY47635	337
CDY47633	800.7
CDY47647	1169
CDY70752	290
CDY00801	48
CDY00872	739
CDY00832	580
CDY00869	55
CDY00821	239
CDY00855	494
CDY00807	469
CDY00820	2
CDY58030	230.2
CDY56372	72
CDY56377	30
CDY56376	17
CDY56364	163
CDY56370	1853.3
CDY56374	432
CDY56371	531.3
CDY56379	303
CDY14582	100
CDY14587	91
CDY14584	267
CDY14618	303
CDY14583	170
CDY14638	205
CDY14615	316
CDY14595	373
CDY14611	2256
CDY14586	502
CDY14647	342
CDY14623	537
CDY14642	767
CDY55050	1215
CDY58502	259
CDY16411	1025
CDY16406	1141
CDY16353	0
CDY16393	9
CDY16428	1038
CDY16385	620
CDY16429	11
CDY16395	0
CDY16352	0
CDY16364	11
CDY16370	263.9
CDY16357	0
CDY16407	2813
CDY16426	28
CDY16383	751
CDY16382	237
CDY16356	0
CDY16439	238
CDY16430	148
CDY16414	561
CDY42188	513.1
CDY42189	18
CDY42184	373
CDY42177	635
CDY51907	1725
CDY51908	260
CDY51898	1935
CDY51900	820
CDY51906	103
CDY51901	646
CDY51899	1373
CDY33284	147
CDY33292	211
CDY33280	61
CDY33278	546
CDY33308	401
CDY33298	336
CDY68002	194
CDY68560	1064
CDY65933	1017
CDY67608	236.1
CDY70461	186
CDY65423	0
CDY69118	583
CDY13325	709
CDY13293	103
CDY13302	109
CDY13371	85
CDY13298	258
CDY13344	1889
CDY13353	698
CDY13336	569
CDY13346	560
CDY13374	672
CDY13321	356
CDY13331	166
CDY13308	1141
CDY58110	689
CDY58111	1068
CDY58386	177
CDY58387	399
CDY65987	244
CDY67050	452
CDY72329	30
CDY69711	168
CDY71681	55
CDY56714	711
CDY56704	784
CDY56711	233
CDX74433	11
CDX74578	343
CDX74495	515
CDX74513	967
CDX74479	30
CDX74472	190
CDX74441	161
CDX74454	5
CDX74522	957
CDX74612	0
CDX74532	0
CDX74524	599
CDX74558	33
CDX74615	207
CDX74632	565
CDX74428	464
CDX74613	0
CDX74442	473
CDX74588	22
CDX74492	364
CDX74646	452
CDX74491	23
CDX74593	325
CDX74412	173
CDX74503	703
CDX74475	306
CDX74449	127
CDX74640	1076
CDX74440	567
CDX74525	11
CDX74487	6
CDX74573	333
CDX74609	106
CDX74410	114
CDX74617	691
CDX74474	174
CDY69239	540
CDY72336	931
CDY52820	142
CDY54479	474
CDY54482	868
CDY50290	168
CDX87752	11
CDX87712	11
CDX87799	444
CDX87784	194
CDX87696	281
CDX87764	63
CDX87759	150
CDX87718	532
CDX87780	190
CDX87793	554
CDX87730	23
CDX87779	307
CDX87698	277
CDX87762	855
CDX87778	24
CDX87671	63
CDX87722	435.4
CDY63411	483
CDY66239	1290
CDY33844	451
CDY33851	358
CDY33843	558
CDY33862	105
CDY33849	1045
CDY33863	768
CDY33860	498
CDY33857	24
CDY33853	18
CDY33856	253
CDY33876	500
CDY56576	4153
CDY68179	541
CDY68590	514
CDY63527	415
CDY21220	430.2
CDY21232	864
CDY53434	1171
CDY45656	860
CDY45669	0
CDY68261	1542
CDY62854	343
CDY62847	484
CDY57024	255
CDY57008	709
CDY57012	5
CDY57010	118
CDY52228	375
CDY29898	323
CDY29908	275
CDY29844	1577
CDY29878	4216
CDY29873	569
CDY29883	290
CDY29857	528
CDY29895	257
CDY29882	554
CDY29840	465
CDY29870	478.2
CDY29851	384
CDY29848	345
CDY29869	621
CDY29907	490
CDY71607	578
CDY18054	2275
CDY18045	227
CDY42503	56
CDY42506	947
CDY42509	747
CDY42524	118
CDY69288	244
CDY48813	779
CDY48805	301
CDY62323	213.9
CDY62328	334
CDY61743	269
CDY61745	79
CDY71928	699.2
CDY53917	768
CDY53911	526
CDY53909	611
CDY53916	6
CDY53915	521
CDY53908	934
CDY53913	403
CDY53912	1036
CDY06779	416
CDY06802	482
CDY06847	292
CDY06867	422.5
CDY06860	92
CDY06786	0
CDY06876	990
CDY06785	251
CDY06806	37
CDY06784	478
CDY06865	68
CDY06854	604
CDY06809	109
CDY06821	122
CDY06853	3
CDY06832	146
CDY06783	174
CDY06811	17
CDY06845	1167
CDY06870	212.2
CDY06790	402
CDY06800	414
CDY69600	9.2
CDY52702	193
CDY52697	384
CDY52705	1103
CDY52703	691
CDY35029	142
CDY35030	953
CDY35028	459.1
CDY35032	26
CDY35031	2
CDY35016	530
CDY53836	733
CDY58279	927
CDY05774	1106
CDY05734	2936
CDY05768	81
CDY05733	30
CDY05763	679
CDY05725	545.9
CDY05728	569
CDY05723	28
CDY05782	479
CDY65994	809
CDY60533	40
CDY15395	29
CDY15422	48
CDY15344	3.7
CDY15365	33
CDY15374	53
CDY15406	316
CDY15325	224
CDY15393	79
CDY15378	79
CDY15319	37
CDY15362	144
CDY15351	253
CDY15321	1100.1
CDY15379	504
CDY15397	11
CDY15361	17
CDY15347	80
CDY15348	10
CDY15373	131
CDY15392	997
CDY15424	414
CDY15421	87
CDY15394	17
CDY15398	593
CDY15383	286
CDY15360	216
CDY15368	207
CDY44550	868
CDY44551	462
CDY44549	1
CDY44553	17
CDY61244	1040
CDX97641	288
CDX97576	1492
CDX97588	1021
CDX97653	1244
CDX97572	483
CDX97529	194
CDX97649	0
CDX97513	2930
CDX97581	12
CDX97526	779
CDX97524	2033
CDX97569	1004
CDX97656	68
CDX97515	646
CDX97619	648
CDX97605	1724
CDX97741	386
CDX97577	55
CDX97713	1217
CDX97601	589
CDX97574	70
CDX97733	792
CDX97573	33
CDX97556	523
CDX97660	482
CDX97654	595
CDX97675	707
CDX97724	170
CDX97625	643
CDX97528	430
CDX97728	972
CDX97735	2275
CDX97698	57
CDX97521	492
CDX97547	329
CDX97507	1930
CDX97593	11
CDX97618	331
CDX97722	90
CDX97585	663
CDX97578	458
CDX97701	11
CDX97546	17
CDX97541	582
CDX97670	366
CDX97714	1935
CDX97717	309
CDX97501	604
CDX97633	655
CDX97519	1521
CDX97592	11
CDX97567	1161
CDX97606	1978
CDX97596	671
CDX97620	185
CDX97638	1294.2
CDX97591	14
CDX97707	643
CDX97610	459
CDX97723	569
CDX97708	203
CDX97617	406
CDX97630	303
CDX97645	406
CDY39942	527
CDY39940	554
CDY39988	484
CDY39984	336
CDY39973	115
CDY39950	11
CDY57584	556
CDY57572	477
CDY53293	63
CDY53941	298
CDY53947	434
CDY53940	16
CDY53946	33
CDY53948	80
CDY10346	160
CDY10289	1300
CDY10354	38
CDY10351	251
CDY10286	226
CDY10350	1623
CDY10311	979
CDY05657	1136
CDY05663	111
CDY05631	99
CDY05611	637.1
CDY05586	110
CDY05630	4402
CDY05682	44
CDY05594	175
CDY05629	377
CDY05683	33
CDY05681	10
CDY05643	684
CDY05602	593
CDY05632	449
CDY05589	146
CDY05647	500
CDY05700	1359
CDY05655	325
CDY05644	1413.7
CDY05679	46
CDY05587	31
CDY05688	46
CDY05593	321
CDY05624	55
CDY05590	1600.3
CDY62385	1821
CDY68007	203
CDY61603	963.2
CDY72006	17
CDY71604	100
CDY70994	247
CDY57869	474
CDY57876	1011
CDY57874	537
CDY67706	2915
CDY60468	268
CDY60471	262
CDY60465	608
CDY71253	480.1
CDY43058	484
CDY43062	59
CDY43037	1226
CDY43023	632
CDY43022	711
CDY43038	215
CDY43057	410
CDY43054	78
CDY68313	326
CDY51327	342
CDY51336	108
CDY34330	855
CDY34286	595
CDY34282	9
CDY34321	602
CDY34333	292
CDY34347	2271
CDY34338	1106
CDY34310	1452.5
CDY34271	98
CDY34275	475
CDY34283	52
CDY34307	615
CDY34261	1075
CDY34297	312
CDY34320	74
CDY34346	250
CDY61145	59
CDY61137	1517.8
CDY47507	2454
CDY47499	196
CDY47517	840
CDY47524	683
CDY66260	380
CDY68039	276
CDY67557	124
CDX99724	356
CDX99755	262
CDX99733	529
CDX99768	338
CDX99723	89
CDX99779	185
CDX99722	1078
CDX99719	171
CDX99767	1438
CDX99780	200
CDX99726	6
CDX99716	31
CDX99721	48
CDX99756	949
CDY63833	379
CDY65680	222
CDY63965	494
CDY64108	589
CDY50515	61
CDY59599	168
CDY69979	10
CDY64879	1530
CDY55974	2886
CDX89284	202
CDX89266	102
CDX89401	13
CDX89388	281
CDX89329	145
CDX89326	240
CDX89380	2947
CDX89309	234
CDX89336	836
CDX89286	172
CDX89350	821
CDX89407	163
CDX89316	554
CDX89305	597
CDX89262	50
CDX89228	589
CDX89210	39
CDX89394	296
CDX89295	552
CDX89417	11
CDX89354	172
CDX89232	336
CDX89352	458
CDX89422	694
CDX89312	511
CDX89424	32
CDX89389	14
CDX89207	56
CDX89280	161
CDX89406	1733.5
CDX89307	430
CDX89285	570
CDX89370	604
CDX89433	737
CDX89311	748
CDX89325	194
CDX89396	643
CDX89360	813
CDX89296	343
CDX89249	465
CDX89320	672
CDX89298	838
CDX89418	446
CDX89434	491
CDX89227	615
CDX89321	406
CDX89379	953
CDX89355	1718.3
CDX89363	282
CDX89237	421
CDX89328	1018
CDX89196	446
CDX89319	1038
CDX89390	46
CDX89399	233
CDX89348	397
CDX89214	818
CDX89351	783
CDX89313	105
CDX89324	216
CDX89391	850
CDX89419	356
CDX89269	1681
CDX89382	886
CDX89215	1019
CDX89263	476
CDX89303	563
CDY59110	0
CDY59109	0
CDY59111	6
CDY49589	44
CDY67066	1.90000000000001
CDY67816	96
CDY58940	552
CDY49816	166
CDY49805	57
CDY49807	216
CDY67061	568
CDY29145	8
CDY29142	151
CDY29167	447
CDY29159	484
CDY29147	534
CDY29164	2046
CDY25149	519
CDY25139	194
CDY25126	251
CDY25140	199
CDY47605	189
CDY47618	988
CDY47613	27
CDY68649	39
CDY61891	1588
CDY61895	253
CDY68550	2
CDY68458	55
CDY58098	750
CDY58096	436
CDX80698	500
CDX80710	127
CDY31188	11
CDY49467	29
CDY34688	2
CDY34680	493
CDY21504	284
CDY21472	260
CDY21452	996
CDY21455	1017
CDY21439	746
CDY21453	397
CDY21471	18
CDY21494	279
CDY21456	505
CDY21487	684
CDY21451	163
CDY21499	676
CDY71754	11
CDY47186	70
CDY47182	550
CDY47187	323
CDY47188	1209
CDY47179	53
CDY47176	229
CDY47178	44
CDY59781	1681
CDY69099	15
CDY71471	1128
CDY52625	567
CDY52628	423
CDY52629	816
CDY51174	33
CDY51173	447
CDY58921	317.1
CDY58918	1312
CDY65701	0
CDY51951	484
CDY51948	436
CDY51955	11
CDY25904	724
CDY25898	1006.2
CDY25922	556
CDY25908	299
CDY25913	1474
CDY37475	1230
CDY37423	127
CDY37437	11
CDY37414	201
CDY37434	950
CDY37442	158
CDY37439	109
CDY37421	284
CDY37465	371
CDY37413	343
CDY37459	855
CDY37461	253
CDY37440	1839
CDY37474	18
CDY62114	1513
CDY62121	470
CDY67756	637
CDY27017	55
CDY26997	591
CDY27011	408
CDY27016	366
CDY23547	596
CDY23501	802
CDY23504	1288
CDY23488	104
CDY23500	72
CDY23486	656
CDY23525	423
CDY23542	565
CDY23527	1418
CDY23474	1
CDY23497	7
CDY23535	186
CDY23471	301
CDY23493	8
CDY30809	2754.4
CDY30822	37
CDY30832	497
CDY70010	938
CDY70282	450.4
CDY53647	249
CDY66193	1975
CDY41122	151
CDY52971	48
CDY52980	149
CDY52982	1117
CDY52983	129
CDY52969	1500.7
CDY70774	325
CDY70118	561
CDY68865	136
CDY66141	83
CDY46877	632
CDY67078	44
CDY50883	554
CDY50879	600
CDY50866	746
CDY50882	385
CDY50880	955.8
CDY50862	358
CDY50877	574
CDY62249	366
CDY42062	201
CDY42051	787
CDY52904	923
CDY52910	244
CDY57197	39
CDY57198	115.4
CDY57201	57
CDY69344	219
CDY69343	136
CDY41564	325
CDY41539	984
CDY41553	28
CDY41551	109
CDY41554	820
CDY41560	534
CDY41558	401
CDY41565	24
CDY41552	105
CDY41563	373
CDY56227	458
CDY56229	908
CDY68926	307
CDY72515	454
CDY61644	552
CDY00478	186
CDY00530	490
CDY00480	76
CDY00526	382
CDY00488	724
CDY00485	201
CDY00509	264
CDY00479	98
CDY00467	172
CDY00454	29
CDY66630	50
CDY30613	369
CDY30617	1021
CDY30603	205.9
CDY30605	1001
CDY30604	557
CDY30616	120
CDY30601	422
CDY30636	599
CDY30600	312
CDY72011	496
CDY67543	2118
CDY67544	265.7
CDY68683	338
CDY63754	831
CDY63750	32
CDY39934	1002
CDY39893	162
CDY39927	1446
CDY39939	532
CDY39897	44
CDY39937	17
CDY39907	101
CDY39911	493
CDY39917	718
CDY39900	542
CDY39901	224
CDY66711	567
CDY70326	231
CDY65404	637
CDY65403	44
CDY61971	140
CDY61969	110
CDY71882	591
CDY50110	809
CDY50106	61
CDY44264	11
CDY44266	24
CDY44270	907
CDY44261	127
CDY53107	828
CDY37750	754
CDY37675	454
CDY37668	632
CDY37665	6
CDY37718	139
CDY37667	292
CDY37736	6
CDY37733	495
CDY37729	611
CDY37722	1147
CDY37670	138
CDY37706	65
CDY37751	149
CDY37731	754
CDY49311	111
CDY49315	164
CDY49310	185
CDY49633	2342
CDY49630	65
CDY49632	38
CDY68406	177
CDY24340	33
CDY24379	164
CDY24333	162
CDY24325	142
CDY24369	206.6
CDY24338	155
CDY24378	39
CDY24375	71
CDY24327	1130
CDY24352	90
CDY65349	1235
CDY56303	349
CDY69747	48
CDY68421	432
CDX69133	308
CDX69241	675.2
CDX68689	726
CDX69387	506
CDX69156	200
CDX68716	315
CDX69129	381
CDX69027	69
CDX69197	611
CDX68670	625.6
CDX68773	726
CDX69103	1108
CDX68999	408
CDX68802	314
CDX69174	2145
CDX68854	72
CDX68667	236.1
CDX69134	558
CDX69125	1686
CDX69339	1241
CDX69300	1061
CDX69283	420.2
CDX69296	238
CDX69166	2919
CDX69028	55
CDX68647	609
CDX69242	6
CDX68776	174
CDX69336	538
CDX68595	2676
CDX69351	1513
CDX68751	22
CDX69201	28
CDX69195	2608
CDX69211	54
CDX69098	528
CDX69188	144
CDX69362	89
CDX69102	338
CDX68766	702
CDX69349	369
CDX69357	643.6
CDX69234	834
CDX68759	29
CDX68827	1967.7
CDX69269	113
CDX68628	456
CDX69067	563.2
CDX69137	74
CDX68719	216
CDX68735	848
CDX68696	1306.7
CDX69248	524
CDX68618	1067
CDX69186	1130
CDX68754	22
CDX69011	720
CDX69112	382
CDX69196	118
CDX69158	103
CDX69141	392
CDX68646	67
CDX69175	229
CDX68806	461
CDX69385	489
CDX68836	613
CDX69075	316
CDX69209	221
CDX68757	5.5
CDX68815	210
CDX69204	33
CDX68645	0
CDX69322	454
CDX69058	349
CDX68726	135
CDX69348	137
CDX68654	369
CDX68613	1788
CDX69086	153
CDX69076	377
CDX69375	347
CDX68641	33
CDX69084	730
CDX69316	180
CDX69304	434
CDX69303	689
CDX69249	241
CDX69345	425
CDX68912	973.2
CDX68799	1202
CDX69344	1311
CDX69218	242
CDX68958	4867.2
CDX68615	665
CDX68808	513
CDX68672	593
CDX69037	876
CDX69071	892
CDX68923	578
CDX69208	294
CDX69030	57
CDX68693	1113
CDX68960	85
CDX69034	1273
CDX68586	2210
CDX68687	219
CDX68627	1073
CDX68840	197
CDX69212	678
CDX68651	1839
CDX69261	642
CDX69371	392
CDX69192	458
CDX69225	392
CDX69317	92
CDX69224	1140.9
CDX68895	354
CDX68937	2035
CDX69262	248
CDX69070	338
CDX68897	897
CDX68975	1003
CDX68851	1057
CDX69286	1577
CDX69270	78
CDX69326	774
CDX69223	419
CDX69319	772
CDX69369	599
CDX68940	77
CDX69006	241
CDX68844	1701
CDX68817	12.9
CDX69096	186
CDX69135	4485
CDX69078	207
CDX68930	770
CDX69124	139
CDX69106	676
CDX68935	569
CDX69320	64
CDX68871	171
CDX68642	131
CDX69365	513
CDX68812	1154
CDX68818	491
CDX69045	17
CDX69111	587
CDX69313	154
CDX68753	50
CDX68703	250
CDY72092	88
CDY62698	375
CDY62690	3095
CDY70313	85
CDY64495	924
CDY64492	412
CDY71895	24
CDY13007	202
CDY13014	165
CDY13008	110
CDY46453	110
CDY46456	327
CDY46469	120
CDY46470	470
CDY46466	204
CDY68764	438
CDY38492	489
CDY38468	305
CDY38443	927
CDY38500	124
CDY38466	22
CDY38479	11
CDY38478	8
CDY38480	22
CDY38469	863.3
CDY38437	676
CDY38456	501
CDY38436	601
CDY38488	580
CDY38477	130.5
CDY38430	611
CDY38499	517
CDY38460	413
CDY38475	18
CDY38470	725
CDY38471	1833
CDY38483	39
CDY38484	6
CDY38493	689
CDY38474	11
CDY63119	240
CDY70034	207
CDY47745	799
CDY47729	227
CDY47737	380
CDY47744	344
CDY47740	890
CDY65313	42
CDY65312	1327
CDY59032	857
CDY45004	775
CDY44994	500
CDY44979	8
CDY44990	127
CDY20870	48
CDY20865	366
CDY52768	1179.8
CDY46150	813
CDY46130	690
CDY46145	615
CDY46137	1239
CDY46144	275
CDY46148	378
CDY46140	321
CDY55242	170
CDY55246	432
CDY69957	175
CDY64751	652
CDY64749	266
CDY64747	39
CDY38162	9.3
CDY38163	22
CDY38146	5
CDY38171	229
CDY38144	608.8
CDY69447	39
CDX71600	2
CDX71646	4
CDX71667	0
CDX71659	407
CDX71662	0
CDX71623	632
CDY30580	471
CDY30582	19
CDY69995	437
CDY56796	571
CDY68968	149
CDY65326	2141.2
CDY45806	447
CDY45800	2026
CDY45826	0
CDY70064	110
CDY68675	78
CDY72115	5
CDX95705	292
CDX95741	5144
CDX95745	87
CDX95645	18
CDX95627	142
CDX95684	515
CDX95751	20
CDX95606	572
CDX95753	23
CDX95668	305
CDX95747	508
CDX95633	528
CDX95610	485
CDX95750	161
CDX95713	1246
CDX95712	122
CDX95634	190
CDX95732	175
CDX95727	122
CDX95582	358
CDX95734	126.9
CDX95670	390
CDX95631	218
CDX95629	37
CDX95706	973
CDX95715	696
CDX95752	59
CDX95748	15
CDX95643	527
CDX95694	88
CDX95591	340
CDX95605	341
CDX95766	264
CDX95626	301
CDX95667	63
CDX95577	253
CDX95601	754
CDY55181	957
CDY55180	573
CDY55176	901
CDY55179	17
CDY55173	628
